date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2016-03-08,1.11E+11,59608290000,8932352000,14177162870,6807229000,1.72E+11,25970000000,1382000000,
2016-03-09,1.08E+11,59227150000,8829568000,14059639150,6868771000,1.72E+11,26070000000,1429000000,
2016-03-10,1.08E+11,58926250000,8923904000,13964583200,6838000000,1.71E+11,25050000000,1396000000,
2016-03-11,1.11E+11,59638380000,9030912000,14066552310,6892704000,1.74E+11,25260000000,1425000000,
2016-03-14,1.11E+11,59748710000,9050624000,13936930560,6875609000,1.74E+11,25120000000,1423000000,
2016-03-15,1.10E+11,59407690000,8888704000,13961126620,6926894000,1.75E+11,25460000000,1589000000,
2016-03-16,1.10E+11,59879100000,8945024000,14177162870,6926894000,1.76E+11,25780000000,1595000000,
2016-03-17,1.10E+11,60260240000,9168896000,14483070200,6793553000,1.78E+11,26750000000,1606000000,
2016-03-18,1.11E+11,61403660000,9182976000,14579854440,6943989000,1.79E+11,26440000000,1584000000,
2016-03-21,1.13E+11,61393630000,9384320000,14552201800,6896123000,1.79E+11,26010000000,1584000000,
2016-03-22,1.15E+11,60791830000,9319552000,14301599750,6882447000,1.77E+11,26550000000,1578000000,
2016-03-23,1.14E+11,60811890000,8981632000,14057910860,7032883000,1.80E+11,26390000000,1558000000,
2016-03-24,1.14E+11,60651410000,8936576000,14227283280,6920056000,1.80E+11,26540000000,1568000000,
2016-03-25,1.14E+11,60651410000,8936576000,489035119.1,6920056000,1.80E+11,26540000000,1568000000,
2016-03-28,1.14E+11,60460840000,9180160000,485233096.8,7108101000,1.80E+11,26700000000,1590000000,
2016-03-29,1.15E+11,60781800000,9266048000,500441186,7193576000,1.83E+11,26650000000,1603000000,
2016-03-30,1.15E+11,60470870000,9256192000,498837207.8,7275632000,1.87E+11,27500000000,1690000000,
2016-03-31,1.14E+11,59128200000,9081600000,498777801.2,7166016000,1.84E+11,27600000000,1704000000,
2016-04-01,1.17E+11,58839300000,8976000000,511015560.5,7237269000,1.86E+11,26780000000,1741000000,
2016-04-04,1.18E+11,58377060000,8942208000,494203493.2,6925113000,1.87E+11,26580000000,1725000000,
2016-04-05,1.16E+11,57962970000,8842240000,490579690.7,6816537000,1.85E+11,26020000000,1710000000,
2016-04-06,1.21E+11,57664440000,8907008000,494144086.6,6782607000,1.88E+11,26400000000,1719000000,
2016-04-07,1.20E+11,56682180000,8781696000,488144020.1,6595992000,1.86E+11,26370000000,1711000000,
2016-04-08,1.19E+11,57298500000,8716928000,492421295.2,6572241000,1.87E+11,27150000000,1752000000,
2016-04-11,1.19E+11,57587400000,8371968000,494441119.6,6497595000,1.87E+11,27440000000,1724000000,
2016-04-12,1.21E+11,58434840000,8445184000,502876856.5,6484023000,1.89E+11,27570000000,1708000000,
2016-04-13,1.22E+11,59860080000,8725376000,508995736.2,6779214000,1.91E+11,27440000000,1703000000,
2016-04-14,1.22E+11,60197130000,8647936000,503173889.5,6989580000,1.93E+11,27580000000,1667000000,
2016-04-15,1.22E+11,59840820000,8645120000,505499808.9,7067619000,1.92E+11,27480000000,1652000000,
2016-04-18,1.23E+11,60274170000,8800000000,506155837.4,7121907000,1.96E+11,28040000000,1648000000,
2016-04-19,1.23E+11,61217910000,8695808000,509555258.1,7220304000,1.94E+11,28580000000,1657000000,
2016-04-20,1.24E+11,62614260000,8633856000,490411152.5,7121907000,1.95E+11,28680000000,1645000000,
2016-04-21,1.25E+11,63182430000,8512768000,477350220.7,6965829000,1.94E+11,28580000000,1613000000,
2016-04-22,1.24E+11,63490590000,8505728000,480451446.5,6935292000,1.90E+11,28210000000,1595000000,
2016-04-25,1.24E+11,63269100000,8498688000,474905023.4,6911541000,1.88E+11,28120000000,1595000000,
2016-04-26,1.24E+11,63750600000,8628224000,480630363.4,6897969000,1.89E+11,28350000000,1648000000,
2016-04-27,1.22E+11,63779490000,8719744000,479556862.1,6989580000,1.89E+11,28760000000,1625000000,
2016-04-28,1.22E+11,63403920000,8654976000,470611018.4,6826716000,1.87E+11,29100000000,1659000000,
2016-04-29,1.20E+11,63009090000,8650752000,467509792.6,6714747000,1.85E+11,29130000000,1627000000,
2016-04-30,1.20E+11,63009090000,8466432000,467509792.6,6714747000,1.85E+11,29130000000,1627000000,
2016-05-02,1.21E+11,63249840000,8549112000,469000766.5,6731712000,1.88E+11,29250000000,1639000000,
2016-05-03,1.19E+11,62450550000,8477456000,466913403,6762249000,1.85E+11,28490000000,1621000000,
2016-05-04,1.17E+11,61882380000,8522930000,461545896.8,6558669000,1.85E+11,28120000000,1639000000,
2016-05-05,1.17E+11,61554960000,8325876000,460889868.2,6558669000,1.86E+11,28180000000,1719000000,
2016-05-06,1.16E+11,62123130000,8375484000,472638743,6446700000,1.87E+11,27970000000,1762000000,
2016-05-09,1.18E+11,61612740000,8565648000,470611018.4,6602778000,1.88E+11,27680000000,1779000000,
2016-05-10,1.20E+11,62440920000,8409934000,480451446.5,6562062000,1.90E+11,28020000000,1802000000,
2016-05-11,1.17E+11,62200170000,8098506000,477350220.7,6467058000,1.86E+11,28280000000,1809000000,
